image,empty,not_adipocyte,adipocyte
12.12 Beef Shoulder 2_r1_c22.jpg,0.103221,0.891394,0.005385
12.12 Beef Shoulder 2_r31_c40.jpg,0.234921,0.719153,0.045925
12.12 Beef Shoulder 2_r32_c7.jpg,0.071278,0.895411,0.033312
12.12 Beef Shoulder 2_r37_c3.jpg,0.827442,0.162227,0.010331
12.12 Beef Shoulder 2_r37_c4.jpg,0.351181,0.635139,0.013681
12.12 Beef Shoulder 2_r38_c3.jpg,0.805068,0.184512,0.010419
12.12 Beef Shoulder 2_r38_c4.jpg,0.473895,0.505982,0.020123
12.12 Beef Shoulder 3_r12_c17.jpg,0.278113,0.704812,0.017075
12.12 Beef Shoulder 3_r12_c20.jpg,0.232906,0.755851,0.011243
12.12 Beef Shoulder 3_r14_c22.jpg,0.082867,0.849495,0.067638
12.12 Beef Shoulder 3_r15_c17.jpg,0.146160,0.809287,0.044553
12.12 Beef Shoulder 3_r16_c12.jpg,0.153770,0.835655,0.010574
12.12 Beef Shoulder 3_r16_c19.jpg,0.104685,0.886404,0.008911
12.12 Beef Shoulder 3_r16_c25.jpg,0.054154,0.934716,0.011130
12.12 Beef Shoulder 3_r17_c10.jpg,0.066687,0.927024,0.006290
12.12 Beef Shoulder 3_r17_c15.jpg,0.048845,0.918801,0.032354
12.12 Beef Shoulder 3_r17_c17.jpg,0.017893,0.955196,0.026911
12.12 Beef Shoulder 3_r17_c19.jpg,0.063073,0.921279,0.015648
12.12 Beef Shoulder 3_r17_c20.jpg,0.002482,0.994736,0.002782
12.12 Beef Shoulder 3_r17_c38.jpg,0.010523,0.945597,0.043881
12.12 Beef Shoulder 3_r18_c11.jpg,0.206428,0.781401,0.012171
12.12 Beef Shoulder 3_r18_c12.jpg,0.458427,0.530225,0.011348
12.12 Beef Shoulder 3_r18_c13.jpg,0.256640,0.713876,0.029484
12.12 Beef Shoulder 3_r18_c14.jpg,0.065732,0.892635,0.041633
12.12 Beef Shoulder 3_r18_c15.jpg,0.038560,0.934567,0.026873
12.12 Beef Shoulder 3_r18_c24.jpg,0.057022,0.880668,0.062311
12.12 Beef Shoulder 3_r18_c25.jpg,0.033774,0.951697,0.014530
12.12 Beef Shoulder 3_r19_c16.jpg,0.192467,0.801507,0.006026
12.12 Beef Shoulder 3_r19_c17.jpg,0.082307,0.896259,0.021433
12.12 Beef Shoulder 3_r19_c18.jpg,0.037671,0.958333,0.003997
12.12 Beef Shoulder 3_r19_c20.jpg,0.053489,0.931469,0.015042
12.12 Beef Shoulder 3_r19_c21.jpg,0.027900,0.952624,0.019475
12.12 Beef Shoulder 3_r19_c26.jpg,0.018440,0.948733,0.032826
12.12 Beef Shoulder 3_r19_c40.jpg,0.530312,0.408347,0.061341
12.12 Beef Shoulder 3_r20_c11.jpg,0.021778,0.972353,0.005868
12.12 Beef Shoulder 3_r20_c12.jpg,0.013224,0.983803,0.002972
12.12 Beef Shoulder 3_r20_c14.jpg,0.045484,0.945554,0.008963
12.12 Beef Shoulder 3_r20_c15.jpg,0.012065,0.979366,0.008569
12.12 Beef Shoulder 3_r20_c17.jpg,0.011367,0.966669,0.021964
12.12 Beef Shoulder 3_r20_c18.jpg,0.043886,0.935679,0.020434
12.12 Beef Shoulder 3_r20_c21.jpg,0.018658,0.976428,0.004914
12.12 Beef Shoulder 3_r20_c24.jpg,0.110673,0.854870,0.034457
12.12 Beef Shoulder 3_r20_c40.jpg,0.242262,0.737031,0.020707
12.12 Beef Shoulder 3_r20_c41.jpg,0.663682,0.316970,0.019348
12.12 Beef Shoulder 3_r21_c11.jpg,0.179664,0.814722,0.005614
12.12 Beef Shoulder 3_r21_c12.jpg,0.024771,0.966546,0.008683
12.12 Beef Shoulder 3_r21_c13.jpg,0.014809,0.982785,0.002407
12.12 Beef Shoulder 3_r21_c14.jpg,0.035237,0.962345,0.002418
12.12 Beef Shoulder 3_r21_c15.jpg,0.105401,0.889296,0.005302
12.12 Beef Shoulder 3_r21_c17.jpg,0.018784,0.970227,0.010989
12.12 Beef Shoulder 3_r21_c18.jpg,0.030378,0.965075,0.004547
12.12 Beef Shoulder 3_r21_c19.jpg,0.065995,0.896745,0.037260
12.12 Beef Shoulder 3_r21_c24.jpg,0.006191,0.931861,0.061948
12.12 Beef Shoulder 3_r21_c25.jpg,0.012624,0.968849,0.018527
12.12 Beef Shoulder 3_r21_c30.jpg,0.045461,0.907858,0.046681
12.12 Beef Shoulder 3_r22_c11.jpg,0.123856,0.830421,0.045723
12.12 Beef Shoulder 3_r22_c12.jpg,0.091747,0.876336,0.031917
12.12 Beef Shoulder 3_r22_c13.jpg,0.072349,0.918877,0.008774
12.12 Beef Shoulder 3_r22_c14.jpg,0.053882,0.918078,0.028039
12.12 Beef Shoulder 3_r22_c15.jpg,0.098282,0.896471,0.005247
12.12 Beef Shoulder 3_r22_c17.jpg,0.042610,0.949009,0.008381
12.12 Beef Shoulder 3_r22_c19.jpg,0.132328,0.792157,0.075515
12.12 Beef Shoulder 3_r22_c20.jpg,0.052481,0.930605,0.016914
12.12 Beef Shoulder 3_r22_c24.jpg,0.047962,0.898823,0.053214
12.12 Beef Shoulder 3_r22_c40.jpg,0.812447,0.142748,0.044805
12.12 Beef Shoulder 3_r22_c41.jpg,0.868964,0.083364,0.047672
12.12 Beef Shoulder 3_r23_c11.jpg,0.048687,0.943659,0.007654
12.12 Beef Shoulder 3_r23_c12.jpg,0.049157,0.947335,0.003508
12.12 Beef Shoulder 3_r23_c14.jpg,0.013847,0.980857,0.005296
12.12 Beef Shoulder 3_r23_c15.jpg,0.065459,0.885283,0.049258
12.12 Beef Shoulder 3_r23_c16.jpg,0.013857,0.969895,0.016248
12.12 Beef Shoulder 3_r23_c17.jpg,0.002314,0.992822,0.004864
12.12 Beef Shoulder 3_r23_c20.jpg,0.563738,0.403019,0.033243
12.12 Beef Shoulder 3_r23_c24.jpg,0.095206,0.875951,0.028843
12.12 Beef Shoulder 3_r23_c3.jpg,0.125958,0.858830,0.015212
12.12 Beef Shoulder 3_r23_c40.jpg,0.971830,0.023891,0.004279
12.12 Beef Shoulder 3_r23_c41.jpg,0.977960,0.019823,0.002217
12.12 Beef Shoulder 3_r24_c12.jpg,0.039929,0.933850,0.026222
12.12 Beef Shoulder 3_r24_c14.jpg,0.077310,0.848857,0.073833
12.12 Beef Shoulder 3_r24_c15.jpg,0.018578,0.955055,0.026368
12.12 Beef Shoulder 3_r24_c23.jpg,0.025942,0.951038,0.023020
12.12 Beef Shoulder 3_r24_c24.jpg,0.119433,0.863010,0.017556
12.12 Beef Shoulder 3_r24_c40.jpg,0.987382,0.011488,0.001129
12.12 Beef Shoulder 3_r24_c41.jpg,0.995084,0.004322,0.000594
12.12 Beef Shoulder 3_r25_c11.jpg,0.083729,0.876436,0.039835
12.12 Beef Shoulder 3_r25_c12.jpg,0.071975,0.886249,0.041775
12.12 Beef Shoulder 3_r25_c14.jpg,0.018963,0.936482,0.044555
12.12 Beef Shoulder 3_r25_c16.jpg,0.062485,0.896119,0.041396
12.12 Beef Shoulder 3_r25_c25.jpg,0.366645,0.571430,0.061925
12.12 Beef Shoulder 3_r25_c40.jpg,0.989511,0.008279,0.002209
12.12 Beef Shoulder 3_r26_c26.jpg,0.148575,0.812291,0.039134
12.12 Beef Shoulder 3_r26_c9.jpg,0.268897,0.722732,0.008372
12.12 Beef Shoulder 3_r27_c6.jpg,0.092313,0.903696,0.003991
12.12 Beef Shoulder 3_r28_c17.jpg,0.053993,0.868919,0.077088
12.12 Beef Shoulder 3_r28_c39.jpg,0.690866,0.299614,0.009521
12.12 Beef Shoulder 3_r29_c39.jpg,0.950744,0.047564,0.001692
12.12 Beef Shoulder 3_r30_c39.jpg,0.952497,0.044094,0.003408
12.12 Beef Shoulder 3_r31_c11.jpg,0.255760,0.712764,0.031476
12.12 Beef Shoulder 3_r31_c39.jpg,0.983243,0.015004,0.001754
12.12 Beef Shoulder 3_r32_c39.jpg,0.990775,0.008365,0.000860
12.12 Beef Shoulder 3_r33_c38.jpg,0.345159,0.475403,0.179439
12.12 Beef Shoulder 3_r33_c39.jpg,0.994856,0.004377,0.000766
12.12 Beef Shoulder 3_r34_c38.jpg,0.668503,0.297594,0.033904
12.12 Beef Shoulder 3_r35_c38.jpg,0.821915,0.163702,0.014383
12.12 Beef Shoulder 3_r36_c37.jpg,0.266279,0.667663,0.066058
12.12 Beef Shoulder 3_r36_c38.jpg,0.859040,0.123776,0.017184
12.12 Beef Shoulder 3_r37_c38.jpg,0.946615,0.052746,0.000639
12.12 Beef Shoulder 3_r38_c38.jpg,0.859393,0.135846,0.004760
12.12 Beef Shoulder 3_r38_c39.jpg,0.994335,0.004608,0.001057
12.12 Beef Shoulder 3_r39_c37.jpg,0.272514,0.548227,0.179258
12.12 Beef Shoulder 3_r39_c38.jpg,0.635409,0.330007,0.034584
12.12 Beef Shoulder 3_r39_c39.jpg,0.997043,0.001996,0.000962
12.12 Beef Shoulder 3_r43_c38.jpg,0.462550,0.515159,0.022291
12.12 Beef Shoulder 3_r44_c39.jpg,0.835671,0.105141,0.059188
12.12 Beef Shoulder 3_r46_c8.jpg,0.032848,0.816218,0.150934
12.12 Beef Shoulder 3_r47_c15.jpg,0.850934,0.138052,0.011013
12.12 Beef Shoulder 3_r47_c16.jpg,0.687355,0.303341,0.009304
12.12 Beef Shoulder 3_r48_c13.jpg,0.289247,0.663580,0.047174
12.12 Beef Shoulder 3_r49_c0.jpg,0.396217,0.574966,0.028817
12.12 Beef Shoulder 3_r50_c1.jpg,0.857290,0.132911,0.009798
12.12 Beef Shoulder 3_r51_c36.jpg,0.067199,0.912054,0.020748
12.12 Beef Shoulder 3_r51_c9.jpg,0.046066,0.945215,0.008718
12.12 Beef Shoulder 3_r52_c0.jpg,0.321358,0.611913,0.066729
12.12 Beef Shoulder 3_r52_c26.jpg,0.164829,0.829626,0.005546
